target_queue_length,conflicting_volume,time_since_last_phase,num_conflicting_lanes,downstream_lane_length,clearance_distance,label
0.0,0.0,57.47951860192945,6.0,16.76,21.0,1
8.0,21.0,16.838118113191907,45.0,9.87,157.5,1
0.0,22.0,58.37546362890622,18.0,23.6,63.0,1
0.0,0.0,21.3508060307525,23.0,31.59,80.5,1
0.0,0.0,12.086277008324693,9.0,23.52,31.5,1
0.0,2.0,30.054315685861923,2.0,58.61,7.0,1
6.0,0.0,32.72895587975093,6.0,13.98,21.0,1
0.0,0.0,24.30303087048828,3.0,47.01,10.5,1
6.0,23.0,27.003542588281455,19.0,0.29,66.5,1
0.0,0.0,49.28283824053493,9.0,25.84,31.5,1
4.0,21.0,50.22379550253375,19.0,0.29,66.5,1
4.0,21.0,20.79808055414243,19.0,0.29,66.5,1
0.0,0.0,55.047198973024734,2.0,378.13,7.0,1
0.0,2.0,56.43181060105998,22.0,26.15,77.0,1
0.0,1.0,3.592017264293652,9.0,58.99,31.5,1
0.0,0.0,7.832620639192806,5.0,75.71,17.5,1
0.0,1.0,4.927382228571555,9.0,58.99,31.5,0
0.0,0.0,43.13261322085451,5.0,113.06,17.5,0
8.0,21.0,45.437954246758636,19.0,0.29,66.5,1
0.0,0.0,16.466574907441405,5.0,113.2,17.5,1
0.0,2.0,36.503567228500174,6.0,109.22,21.0,1
6.0,19.0,46.134058305169724,45.0,14.88,157.5,1
0.0,0.0,58.515344152909826,9.0,31.94,31.5,1
0.0,0.0,29.939273467079452,10.0,41.22,35.0,0
8.0,21.0,20.765017973702303,19.0,0.29,66.5,1
0.0,1.0,40.28776706613735,11.0,36.91,38.5,1
0.0,0.0,26.764494014288598,9.0,54.66,31.5,1
8.0,22.0,39.121503691156505,19.0,0.29,66.5,1
8.0,3.0,54.049915268054136,3.0,125.19,10.5,1
0.0,1.0,21.736104744228257,3.0,229.02,10.5,1
10.0,21.0,27.159146869807792,19.0,0.29,66.5,1
8.0,4.0,29.10768511838714,3.0,125.19,10.5,1
10.0,21.0,46.12074157988522,19.0,0.29,66.5,1
0.0,0.0,46.2104270987303,7.0,15.57,24.5,1
9.0,4.0,31.371053366508,3.0,125.19,10.5,1
0.0,0.0,55.297940295157346,5.0,2.64,17.5,1
10.0,20.0,23.471749594801448,19.0,0.29,66.5,1
